Trial,Metal,Voltage (V),Current (pA),Frequency (Hz),Wavelength (nm)
1,Aluminium,0.002,0.02,9.8361E14,305.00
2,Aluminium,0.069,-0.02,10.0000E14,300.00
3,Aluminium,0.140,0.00,10.1695E14,295.00
4,Aluminium,0.210,0.00,10.3448E14,290.00
5,Aluminium,0.289,0.00,10.5263E14,285.00
6,Aluminium,0.360,0.00,10.7143E14,280.00
7,Aluminium,0.440,0.04,10.9091E14,275.00
8,Aluminium,0.529,-0.02,11.1111E14,270.00
9,Aluminium,0.618,0.02,11.3208E14,265.00
10,Aluminium,0.710,0.00,11.5385E14,260.00
11,Aluminium,0.798,0.01,11.7647E14,255.00
12,Aluminium,0.898,0.02,12.0000E14,250.00
13,Aluminium,1.000,-0.02,12.2449E14,245.00
14,Aluminium,1.098,0.01,12.5000E14,240.00
15,Aluminium,1.212,0.01,12.7660E14,235.00
16,Aluminium,1.329,-0.01,13.0435E14,230.00
17,Aluminium,1.451,0.01,13.3333E14,225.00
18,Aluminium,1.569,-0.00,13.6364E14,220.00
19,Aluminium,1.698,0.03,13.9535E14,215.00
20,Aluminium,1.841,0.00,14.2857E14,210.00
21,Aluminium,1.991,0.02,14.6341E14,205.00
